from,to,relation
hr,fh,
hr,mf,5
hr,me,5
hr,cw,5
hr,rh,5
hr,rp,5
hr,pg,5
hr,mh,5
hr,mr,5
hr,pw,5
hr,rr,5
hr,bmw,5
hr,afd,
hr,ksk,
fh,hr,5
fh,mf,5
fh,me,5
fh,cw,5
fh,rh,5
fh,rp,5
fh,pg,5
fh,mh,5
fh,mr,5
fh,pw,5
fh,rr,5
fh,bmw,5
fh,afd,
fh,ksk,
mf,hr,5
mf,fh,5
mf,me,5
mf,cw,5
mf,rh,5
mf,rp,5
mf,pg,5
mf,mh,5
mf,mr,3
mf,pw,5
mf,rr,5
mf,bmw,5
mf,afd,
mf,ksk,
me,hr,5
me,fh,5
me,mf,5
me,cw,5
me,rh,5
me,rp,5
me,pg,5
me,mh,5
me,mr,5
me,pw,5
me,rr,5
me,bmw,5
me,afd,
me,ksk,1
cw,hr,5
cw,fh,5
cw,mf,5
cw,me,5
cw,rh,5
cw,rp,5
cw,pg,5
cw,mh,5
cw,mr,5
cw,pw,5
cw,rr,5
cw,bmw,5
cw,afd,2
cw,ksk,
rh,hr,5
rh,fh,5
rh,mf,5
rh,me,5
rh,cw,5
rh,rp,5
rh,pg,5
rh,mh,5
rh,mr,5
rh,pw,5
rh,rr,5
rh,bmw,5
rh,afd,1
rh,ksk,
rp,hr,5
rp,fh,5
rp,mf,5
rp,me,5
rp,cw,5
rp,rh,5
rp,pg,5
rp,mh,5
rp,mr,5
rp,pw,3
rp,rr,5
rp,bmw,5
rp,afd,
rp,ksk,2
pg,hr,5
pg,fh,5
pg,mf,5
pg,me,5
pg,cw,5
pg,rh,5
pg,rp,5
pg,mh,5
pg,mr,5
pg,pw,5
pg,rr,5
pg,bmw,5
pg,afd,
pg,ksk,
mh,hr,5
mh,fh,5
mh,mf,5
mh,me,5
mh,cw,5
mh,rh,5
mh,rp,5
mh,pg,5
mh,mr,5
mh,pw,5
mh,rr,5
mh,bmw,5
mh,afd,
mh,ksk,2
mr,hr,5
mr,fh,5
mr,mf,4
mr,me,5
mr,cw,5
mr,rh,5
mr,rp,5
mr,mh,5
mr,pw,5
mr,rr,5
mr,bmw,5
mr,afd,
mr,ksk,
pw,hr,5
pw,fh,5
pw,mf,5
pw,me,5
pw,cw,5
pw,rh,5
pw,rp,3
pw,pg,5
pw,mh,5
pw,mr,5
pw,rr,5
pw,bmw,5
pw,afd,
pw,ksk,
rr,hr,5
rr,fh,5
rr,mf,5
rr,me,5
rr,cw,5
rr,rh,5
rr,rp,5
rr,pg,5
rr,mh,5
rr,mr,5
rr,pw,5
rr,bmw,5
rr,afd,
rr,ksk,
bmw,hr,5
bmw,fh,5
bmw,mf,5
bmw,me,5
bmw,cw,5
bmw,rh,5
bmw,rp,5
bmw,pg,5
bmw,mh,5
bmw,mr,5
bmw,pw,5
bmw,rr,5
bmw,afd,2
bmw,ksk,
